year,stateobs,state,births,lnbirths,population,lnpopulation,workforce,infrastructure,economy,qualityoflife,costofdoingbusiness,technology,businessfriendliness,education,accesstocapital,costofliving,overallrank,workforce_l1,infrastructure_l1,economy_l1,qualityoflife_l1,costofdoingbusiness_l1,technology_l1,businessfriendliness_l1,education_l1,accesstocapital_l1,costofliving_l1,overallrank_l1,population_l1,lag_lnpopulation
2007,48,West Virginia,3697,8.215276718139648,1.834052,0.6065277457237244,42,41,44,33,15,48,50,33,35,21,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,48,West Virginia,3610,8.191463470458984,1.84031,0.6099340319633484,48,42,46,32,15,49,50,36,36,21,47,42,41,44,33,15,48,50,33,35,21,44,1.8340519666671753,0.6065277457237244
2009,48,West Virginia,3267,8.09162712097168,1.847775,0.6139822006225586,48,39,11,39,10,49,50,35,36,15,46,48,42,46,32,15,49,50,36,36,21,47,1.840309977531433,0.6099340319633484
2010,48,West Virginia,3307,8.10379695892334,1.854239,0.617474377155304,44,38,24,40,15,48,50,34,40,17,46,48,39,11,39,10,49,50,35,36,15,46,1.8477749824523926,0.6139822006225586
2011,48,West Virginia,3704,8.217168807983398,1.856301,0.6185858249664307,39,44,13,38,15,47,49,38,35,16,46,44,38,24,40,15,48,50,34,40,17,46,1.8542389869689941,0.617474377155304
2012,48,West Virginia,3399,8.13123607635498,1.856872,0.6188933253288269,50,47,7,39,24,49,44,29,46,26,48,39,44,13,38,15,47,49,38,35,16,46,1.856300950050354,0.6185858249664307
2013,48,West Virginia,3242,8.083945274353027,1.853914,0.6172990798950195,50,NA,27,36,19,49,50,42,39,24,48,50,47,7,39,24,49,44,29,46,26,48,1.8568719625473022,0.6188933253288269
2014,48,West Virginia,3626,8.19588565826416,1.849489,0.6149094104766846,44,NA,39,39,18,48,50,28,49,5,48,50,NA,27,36,19,49,50,42,39,24,48,1.8539140224456787,0.6172990798950195
2015,48,West Virginia,3546,8.173575401306152,1.84205,0.6108790636062622,44,NA,36,40,7,50,48,34,45,24,49,44,NA,39,39,18,48,50,28,49,5,48,1.8494889736175537,0.6149094104766846
2016,48,West Virginia,3481,8.1550750732421875,1.831023,0.604874849319458,40,39,47,40,11,49,49,32,48,13,47,44,NA,36,40,7,50,48,34,45,24,49,1.8420499563217163,0.6108790636062622
2017,48,West Virginia,3593,8.186742782592773,1.817004,0.5971890091896057,49,44,50,39,4,49,49,39,47,22,50,40,39,47,40,11,49,49,32,48,13,47,1.8310229778289795,0.604874849319458
2018,48,West Virginia,3659,8.20494556427002,1.804291,0.5901677012443542,47,45,36,37,11,50,49,41,47,23,48,49,44,50,39,4,49,49,39,47,22,50,1.8170039653778076,0.5971890091896057
2019,48,West Virginia,3690,8.21338176727295,1.792147,0.5834143161773682,44,35,33,39,6,50,48,42,48,21,45,47,45,36,37,11,50,49,41,47,23,48,1.804291009902954,0.5901677012443542
2021,48,West Virginia,5758,8.658345222473145,1.785249,0.5795578956604004,44,NA,35,22,21,49,46,45,47,15,47,44,35,33,39,6,50,48,42,48,21,45,NA,NA
2022,48,West Virginia,6341,8.754792213439941,1.774035,0.5732566118240356,43,42,39,34,10,49,49,44,38,8,44,44,NA,35,22,21,49,46,45,47,15,47,1.7852489948272705,0.5795578956604004
2007,49,Wisconsin,10399,9.249464988708496,5.610775,1.7246888875961304,46,11,46,21,30,21,21,9,27,13,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,49,Wisconsin,11222,9.325631141662598,5.640996,1.7300606966018677,47,13,36,25,36,22,28,9,27,22,37,46,11,46,21,30,21,21,9,27,13,33,5.610774993896484,1.7246888875961304
2009,49,Wisconsin,9139,9.120306015014648,5.669264,1.7350592613220215,44,11,36,23,27,18,30,11,32,21,26,47,13,36,25,36,22,28,9,27,22,37,5.640995979309082,1.7300606966018677
2010,49,Wisconsin,9891,9.199380874633789,5.690475,1.7387937307357788,46,14,31,23,24,21,27,12,30,17,29,44,11,36,23,27,18,30,11,32,21,26,5.66926383972168,1.7350592613220215
2011,49,Wisconsin,10685,9.2765960693359375,5.705288,1.7413934469223022,46,22,22,19,13,21,28,15,27,23,25,46,14,31,23,24,21,27,12,30,17,29,5.690474987030029,1.7387937307357788
2012,49,Wisconsin,13091,9.479680061340332,5.71996,1.7439618110656738,43,6,34,14,15,20,27,10,27,23,17,46,22,22,19,13,21,28,15,27,23,25,5.705287933349609,1.7413934469223022
2013,49,Wisconsin,13491,9.509778022766113,5.736754,1.7468935251235962,40,NA,34,19,28,19,24,13,21,28,22,43,6,34,14,15,20,27,10,27,23,17,5.7199602127075195,1.7439618110656738
2014,49,Wisconsin,13495,9.510074615478516,5.751525,1.749464988708496,40,NA,22,24,26,20,25,10,37,23,17,40,NA,34,19,28,19,24,13,21,28,22,5.736753940582275,1.7468935251235962
2015,49,Wisconsin,14156,9.557893753051758,5.76094,1.7511006593704224,31,NA,30,23,26,20,28,14,14,26,15,40,NA,22,24,26,20,25,10,37,23,17,5.751524925231934,1.749464988708496
2016,49,Wisconsin,14709,9.59621524810791,5.772628,1.7531274557113647,26,19,31,15,28,19,36,11,13,23,23,31,NA,30,23,26,20,28,14,14,26,15,5.760940074920654,1.7511006593704224
2017,49,Wisconsin,14754,9.59926986694336,5.790186,1.7561644315719604,28,26,28,24,22,17,27,15,25,24,21,26,19,31,15,28,19,36,11,13,23,23,5.772627830505371,1.7531274557113647
2018,49,Wisconsin,15090,9.621788024902344,5.807406,1.75913405418396,22,23,19,24,21,20,24,14,25,24,17,28,26,28,24,22,17,27,15,25,24,21,5.790185928344727,1.7561644315719604
2019,49,Wisconsin,15255,9.632662773132324,5.822434,1.7617183923721313,20,24,20,26,20,19,26,5,25,23,15,22,23,19,24,21,20,24,14,25,24,17,5.807405948638916,1.75913405418396
2021,49,Wisconsin,22041,10.000659942626953,5.879978,1.7715530395507812,36,NA,31,31,19,16,23,8,21,23,21,20,24,20,26,20,19,26,5,25,23,15,NA,NA
2022,49,Wisconsin,25100,10.130622863769531,5.890543,1.7733482122421265,37,15,30,35,13,19,38,15,32,23,23,36,NA,31,31,19,16,23,8,21,23,21,5.879978179931641,1.7715530395507812
2007,50,Wyoming,2640,7.878534317016602,0.534876,-0.6257203221321106,13,24,16,20,11,49,23,15,44,25,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,50,Wyoming,2470,7.811973571777344,0.546043,-0.6050575375556946,17,33,6,17,12,48,22,14,47,28,14,13,24,16,20,11,49,23,15,44,25,14,0.5348759889602661,-0.6257203221321106
2009,50,Wyoming,2100,7.649692535400391,0.559851,-0.5800846219062805,16,27,2,5,14,50,25,16,36,25,13,17,33,6,17,12,48,22,14,47,28,14,0.5460429787635803,-0.6050575375556946
2010,50,Wyoming,2307,7.743703365325928,0.564487,-0.5718379020690918,12,24,9,10,13,50,20,22,27,27,14,16,27,2,5,14,50,25,16,36,25,13,0.5598509907722473,-0.5800846219062805
2011,50,Wyoming,2278,7.731053352355957,0.567299,-0.566868782043457,11,38,2,4,34,50,21,18,35,27,21,12,24,9,10,13,50,20,22,27,27,14,0.5644869804382324,-0.5718379020690918
2012,50,Wyoming,2268,7.726653575897217,0.576305,-0.5511182546615601,20,26,1,9,10,48,20,11,35,27,10,11,38,2,4,34,50,21,18,35,27,21,0.5672990083694458,-0.566868782043457
2013,50,Wyoming,2281,7.732369422912598,0.582122,-0.5410752296447754,16,NA,15,11,9,47,8,20,39,27,9,20,26,1,9,10,48,20,11,35,27,10,0.5763049721717834,-0.5511182546615601
2014,50,Wyoming,2182,7.687997341156006,0.582531,-0.5403728485107422,18,NA,41,16,18,46,8,12,35,33,21,16,NA,15,11,9,47,8,20,39,27,9,0.5821220278739929,-0.5410752296447754
2015,50,Wyoming,2813,7.942006587982178,0.585613,-0.5350961089134216,34,NA,23,17,20,49,19,8,50,18,18,18,NA,41,16,18,46,8,12,35,33,21,0.5825309753417969,-0.5403728485107422
2016,50,Wyoming,2361,7.76684045791626,0.584215,-0.53748619556427,6,12,14,11,21,48,21,3,50,29,13,34,NA,23,17,20,49,19,8,50,18,18,0.5856130123138428,-0.5350961089134216
2017,50,Wyoming,2376,7.773173809051514,0.578931,-0.5465719699859619,17,14,43,16,26,40,13,11,50,15,27,6,12,14,11,21,48,21,3,50,29,13,0.584214985370636,-0.53748619556427
2018,50,Wyoming,2385,7.776954174041748,0.577601,-0.5488719344139099,22,12,30,20,20,49,10,21,47,20,26,17,14,43,16,26,40,13,11,50,15,27,0.5789309740066528,-0.5465719699859619
2019,50,Wyoming,2669,7.889459133148193,0.578759,-0.5468690991401672,35,15,27,12,15,49,24,15,48,10,26,22,12,30,20,20,49,10,21,47,20,26,0.5776010155677795,-0.5488719344139099
2021,50,Wyoming,3618,8.193676948547363,0.579548,-0.5455067753791809,34,NA,43,22,25,40,4,15,49,20,36,35,15,27,12,15,49,24,15,48,10,26,NA,NA
2022,50,Wyoming,3737,8.226037979125977,0.581629,-0.5419225096702576,18,35,40,20,23,40,2,29,45,20,32,34,NA,43,22,25,40,4,15,49,20,36,0.5795480012893677,-0.5455067753791809
NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,36,35,25,28,50,2,11,30,22,37,NA,NA
